#{"t_start": 1743034456.1590307, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,567.092497
-50.0,50,568.084004
-50.0,50,569.09419
-32.0,33,570.062362
-50.0,50,571.13673
-50.0,50,572.116748
-50.0,50,573.114163
-29.0,30,574.079787
-12.0,13,575.048533
-46.0,47,576.129238
-46.0,47,577.134195
-50.0,50,578.13605
-50.0,50,579.142483
-50.0,50,580.157358
-50.0,50,581.149917
-50.0,50,582.165926
-50.0,50,586.070632
-20.0,21,587.116641
-50.0,50,588.219931
0.0,1,589.081476
-29.0,30,589.149782
-50.0,50,590.197082
-4.0,5,591.101867
-17.0,18,592.139868
-50.0,50,593.205552
-50.0,50,594.216017
-15.0,16,595.150155
-50.0,50,596.231948
-11.0,12,597.152619
-50.0,50,598.244345
-50.0,50,599.243756
-50.0,50,600.258877
-50.0,50,601.269715
-4.0,5,602.165384
-20.0,21,603.214875
-50.0,50,604.285558
-50.0,50,605.289084
-50.0,50,606.338203
-50.0,50,606.731875
-50.0,50,606.92154
-14.0,15,606.99763
-50.0,50,607.207749
-50.0,50,607.419498
-50.0,50,607.641879
-24.0,25,607.763525
-50.0,50,607.982634
-25.0,26,608.097839
-11.0,12,608.164534
-50.0,50,608.387995
-50.0,50,608.58928
-9.0,10,608.646857
-17.0,18,608.728558
-42.0,43,608.925265
-4.0,5,608.960216
-5.0,6,608.999333
-20.0,21,609.094276
-26.0,27,609.209597
-50.0,50,609.424458
-23.0,24,609.534133
-1.0,2,609.552486
-6.0,7,609.590417
-9.0,10,609.63875
-50.0,50,609.852983
-14.0,15,609.928776
-26.0,27,610.053491
-50.0,50,611.116516
-29.0,30,612.079867
-50.0,50,613.126992
-20.0,21,614.072949
-50.0,50,615.136249
-15.0,16,616.071787
-4.0,5,617.049886
-44.0,45,618.139522
-9.0,10,619.075294
-50.0,50,620.164427
-50.0,50,621.172908
-29.0,30,622.134479
-15.0,16,623.107759
-4.0,5,624.087476
-1.0,2,625.085907
-50.0,50,626.174738
